'Elapsed time','MCL1 ','III ','V ','ABP ','PAP ','PLETH ','RESP '
'seconds','mV','mV','mV','mmHg','mmHg','mV','mV'
0,0.117,-0.004,0.195,87.1,24.075,-0.102,1.02
0.002,0.134,-0.015,0.222,87.1,24.075,-0.102,1.02
0.004,0.144,-0.03,0.241,87.1,24.075,-0.102,1.02
0.006,0.155,-0.046,0.261,87.1,24.075,-0.102,1.02
0.008,0.158,-0.064,0.27,86.45,24.475,-0.1,1.024
0.01,0.161,-0.082,0.278,86.45,24.475,-0.1,1.024
0.012,0.158,-0.1,0.279,86.45,24.475,-0.1,1.024
0.014,0.155,-0.118,0.279,86.45,24.475,-0.1,1.024
0.016,0.147,-0.137,0.274,85.8,24.95,-0.105,1.024
0.018,0.139,-0.155,0.269,85.8,24.95,-0.105,1.024
0.02,0.127,-0.172,0.256,85.8,24.95,-0.105,1.024
0.022,0.114,-0.19,0.243,85.8,24.95,-0.105,1.024
0.024,0.09,-0.204,0.212,85.1,25.35,-0.114,1.024
0.026,0.067,-0.218,0.182,85.1,25.35,-0.114,1.024
0.028,0.025,-0.228,0.122,85.1,25.35,-0.114,1.024
0.03,-0.016,-0.238,0.062,85.1,25.35,-0.114,1.024
0.032,-0.073,-0.244,-0.026,84.4,25.825,-0.127,1.024
0.034,-0.131,-0.251,-0.115,84.4,25.825,-0.127,1.024
0.036,-0.192,-0.255,-0.211,84.4,25.825,-0.127,1.024
0.038,-0.253,-0.258,-0.308,84.4,25.825,-0.127,1.024
0.04,-0.3,-0.259,-0.383,83.8,26.6,-0.146,1.024
0.042,-0.348,-0.259,-0.458,83.8,26.6,-0.146,1.024
0.044,-0.367,-0.256,-0.489,83.8,26.6,-0.146,1.024
0.046,-0.387,-0.253,-0.52,83.8,26.6,-0.146,1.024
0.048,-0.376,-0.244,-0.505,83.25,27.575,-0.162,1.024
0.05,-0.364,-0.236,-0.491,83.25,27.575,-0.162,1.024
0.052,-0.333,-0.221,-0.448,83.25,27.575,-0.162,1.024
0.054,-0.301,-0.205,-0.405,83.25,27.575,-0.162,1.024
0.056,-0.264,-0.184,-0.356,82.65,28.7,-0.182,1.024
0.058,-0.227,-0.163,-0.307,82.65,28.7,-0.182,1.024
0.06,-0.195,-0.14,-0.264,82.65,28.7,-0.182,1.024
0.062,-0.162,-0.117,-0.22,82.65,28.7,-0.182,1.024
0.064,-0.137,-0.095,-0.185,82.1,29.875,-0.203,1.024
0.066,-0.111,-0.072,-0.151,82.1,29.875,-0.203,1.024
0.068,-0.092,-0.053,-0.124,82.1,29.875,-0.203,1.024
0.07,-0.073,-0.034,-0.098,82.1,29.875,-0.203,1.024
0.072,-0.059,-0.019,-0.079,81.6,30.525,-0.225,1.024
0.074,-0.045,-0.005,-0.059,81.6,30.525,-0.225,1.024
0.076,-0.034,0.005,-0.044,81.6,30.525,-0.225,1.024
0.078,-0.023,0.015,-0.03,81.6,30.525,-0.225,1.024
0.08,-0.015,0.021,-0.019,81.2,30.275,-0.248,1.024
0.082,-0.008,0.028,-0.008,81.2,30.275,-0.248,1.024
0.084,-0.004,0.033,-0.001,81.2,30.275,-0.248,1.024
0.086,0.001,0.038,0.006,81.2,30.275,-0.248,1.024
0.088,0.004,0.042,0.009,80.7,29.45,-0.271,1.024
0.09,0.008,0.045,0.013,80.7,29.45,-0.271,1.024
0.092,0.01,0.047,0.014,80.7,29.45,-0.271,1.024
0.094,0.012,0.049,0.015,80.7,29.45,-0.271,1.024
0.096,0.013,0.05,0.015,80.3,28.4,-0.292,1.024
0.098,0.014,0.051,0.014,80.3,28.4,-0.292,1.024
0.1,0.015,0.051,0.014,80.3,28.4,-0.292,1.024
0.102,0.015,0.052,0.014,80.3,28.4,-0.292,1.024
0.104,0.015,0.053,0.014,79.9,27.3,-0.314,1.024
0.106,0.014,0.054,0.014,79.9,27.3,-0.314,1.024
0.108,0.014,0.055,0.014,79.9,27.3,-0.314,1.024
0.11,0.014,0.056,0.014,79.9,27.3,-0.314,1.024
0.112,0.014,0.057,0.015,79.55,26.125,-0.335,1.024
0.114,0.014,0.058,0.015,79.55,26.125,-0.335,1.024
0.116,0.014,0.059,0.016,79.55,26.125,-0.335,1.024
0.118,0.014,0.06,0.017,79.55,26.125,-0.335,1.024
0.12,0.014,0.06,0.018,79.2,25.25,-0.35,1.024
0.122,0.014,0.06,0.02,79.2,25.25,-0.35,1.024
0.124,0.015,0.06,0.021,79.2,25.25,-0.35,1.024
0.126,0.015,0.06,0.021,79.2,25.25,-0.35,1.024
0.128,0.016,0.06,0.022,78.9,24.9,-0.367,1.024
0.13,0.017,0.06,0.023,78.9,24.9,-0.367,1.024
0.132,0.018,0.059,0.024,78.9,24.9,-0.367,1.024
0.134,0.019,0.059,0.025,78.9,24.9,-0.367,1.024
0.136,0.019,0.058,0.025,78.85,24.775,-0.385,1.024
0.138,0.019,0.057,0.026,78.85,24.775,-0.385,1.024
0.14,0.02,0.056,0.025,78.85,24.775,-0.385,1.024
0.142,0.021,0.055,0.025,78.85,24.775,-0.385,1.024
0.144,0.021,0.054,0.025,78.9,24.725,-0.4,1.024
0.146,0.022,0.054,0.026,78.9,24.725,-0.4,1.024
